"target_child_name","gloss_count"
"Alex",225
"Alfred",2
"Alice",66
"Benjamin",1
"David",24
"Doug",2
"Emma",3
"Ethan",715
"Jarret",1
"Jas",1
"Jase",71
"Jillian",6
"Johnnie",10
"Kevin",4
"Laura",25
"Laurel",1
"Lily",356
"Martin",2
"Matt",50
"Megan",3
"Naima",410
"Patricia",3
"Rick",21
"Roman",2
"Ronny",47
"Stephen",2
"Victor",2
"Violet",52
"Wendy",1
"William",286
