"target_child_name","gloss_count"
"Adam",1
"Alex",167
"Alice",6
"Ethan",20
"Jillian",12
"Laura",4
"Lily",178
"Matt",6
"Naima",43
"Nanette",1
"Rick",1
"Roman",1
"Violet",66
"William",33
