"target_child_name","gloss_count"
"Adam",1
"Alex",195
"Alice",9
"Benjamin",3
"David",2
"Emma",2
"Erica",2
"Ethan",98
"Jase",2
"Jeff",5
"Jillian",25
"Laura",12
"Lily",306
"Matt",20
"Naima",81
"Nanette",3
"Patricia",1
"Rick",6
"Robert",1
"Roman",1
"Sarah",1
"Tommy",2
"Victor",1
"Violet",125
"William",49
