"gloss","target_child_name","part_of_speech","target_child_sex"
"ooh look at that that's neat look",NA,"v v prep det:dem pro:dem adj v","male"
"let's leave it on for a little bit more",NA,"v v pro:per adv prep det:art adj n pro:indef","male"
"very good",NA,"adv adj","female"
"dirty",NA,"adj","female"
"hm I see a whole bunch of fish there",NA,"co pro:sub v det:art adj n prep n adv","female"
"that was funny honey",NA,"pro:dem cop adj n","female"
"very good",NA,"adv adj","male"
"my dinner's ready",NA,"det:poss n cop adj","female"
"look Spot has a fluffy spot",NA,"v n:prop v det:art adj n","female"
"well that sounds like a good idea",NA,"co adv v prep det:art adj n","female"
"all gone byebye dirty",NA,"post part co adj","female"
"that was funny",NA,"pro:dem cop adj","female"
"and a fluffy tail",NA,"coord det:art adj n","female"
"that was a good story",NA,"pro:dem cop det:art adj n","female"
"fluffy fluffy",NA,"adj adj","female"
"ya gonna give a shot to the pink chair",NA,"pro:per part v det:art n prep det:art adj n","female"
"xxx cool dude",NA,"adj n","male"
"that's kinda what it does",NA,"pro:rel adj prep pro:int pro:per mod","male"
"fluffy fluffy",NA,"adj adj","female"
"furry furry",NA,"adj adj","female"
"you did make a very nice jack+o+lantern",NA,"pro:per v v det:art adv adj","male"
"furry furry",NA,"adj adj","female"
"cool dude in the pocket",NA,"adj n prep det:art n","male"
"I made a very nice jack+o+lantern",NA,"pro:sub v det:art adv adj","male"
"mm puppy feels much better",NA,"co n v adv adj","female"
"you're very funny",NA,"pro:per adv adj","female"
"leave it in the pocket okay",NA,"v pro:per prep det:art n adj","male"
"what's dirty",NA,"pro:int adj","female"
"I made a very nice jack+o+lantern",NA,"pro:sub v det:art adv adj","male"
"huh here's a red ball too",NA,"co pro:exist det:art adj n post","female"
"Earth moon Earth moon full moon Earth moon",NA,"n:prop n n:prop n adj n n:prop n","male"
"huh there's a blue bird",NA,"co pro:exist det:art adj n","female"
"xxx we need an owl to go inside this little hole in the tree huh",NA,"pro:sub v det:art n inf v prep det:dem adj n prep det:art n co","male"
"six little legs and two",NA,"det:num adj n coord det:num","male"
"and a yellow leaf",NA,"coord det:art adj n","female"
"delicious",NA,"adj","female"
"big pinchers xxx",NA,"adj n","male"
"instead of a brown bottom and a green top we need a special magical tree",NA,"adv prep det:art adj n coord det:art adj n pro:sub v det:art n adj n","male"
"so many sippy",NA,"adv qn adj","female"
"so many sippy cups",NA,"adv qn adj n","female"
"that's not good honey",NA,"pro:dem neg adj n","female"
"maybe it's where the bees live",NA,"adv pro:per pro:int det:art n adj","male"
"ooh I don't wanna chew on it it's yucky",NA,"v pro:sub mod v v prep pro:per pro:per adj","female"
"that looks a little big",NA,"adv v det:art adj adj","female"
"it almost looked the same color as your pants",NA,"pro:per adv v det:art adj n prep det:poss n:pt","male"
"uh that's a good idea you tried to add another half xxx",NA,"pro:dem det:art adj n pro:per v inf v qn n","male"
"b is for baboon oh my gosh he has very sharp teeth",NA,"n:let cop prep n co det:poss co pro:sub aux adv adj n","female"
"let's not touch that sweetie that's dangerous",NA,"v neg v comp co pro:dem adj","female"
"your neck is very soft",NA,"det:poss n cop adv adj","female"
"huh a yellow leaf",NA,"co det:art adj n","female"
"an orange leaf",NA,"det:art adj n","female"
"lots_of lunar craters",NA,"qn adj n","male"
"xxx lots_of lunar craters Mister_Raters",NA,"qn adj n n:prop","male"
"ooh that's good",NA,"v pro:dem adj","female"
"Titch's name",NA,"adj n","male"
"yeah that's a good idea sweetie",NA,"co pro:dem det:art adj n co","male"
"and I've got a big purple ball too",NA,"coord pro:sub part det:art adj adj n post","female"
"you're silly",NA,"pro:per adj","female"
"and Lily's drawing",NA,"coord adj n","female"
"that looks a lil bit psychotic",NA,"adv v det:art adj n adj","female"
"excellent",NA,"adj","female"
"yeah happy translating on that one",NA,"co adj n:gerund prep det:dem pro:indef","female"
"yeah did you draw that pretty picture on there",NA,"co v pro:per v adv adj n prep n","female"
"ready",NA,"adj","male"
"they're very happy he's smiling I think huh",NA,"pro:sub adv adj pro:sub part pro:sub v co","female"
"xxx are you sleepy",NA,"aux pro:per adj","male"
"oh those are big pompoms",NA,"co pro:dem cop adj n","male"
"delicious",NA,"adj","female"
"that's a good one",NA,"pro:dem det:art adj pro:indef","male"
"what a good snack",NA,"pro:int det:art adj n","female"
"much bigger than his bucket",NA,"adv adj prep det:poss n","male"
"good job",NA,"adj n","male"
"yummy",NA,"adj","female"
"hm is that your little guy",NA,"co cop comp det:poss adj n","female"
"that's different",NA,"pro:dem adj","male"
"it's getting smaller so it's almost at the bee isn't it",NA,"pro:per part adj adv pro:per adv prep det:art n cop pro:per","male"
"this is that's usually how she spends like a good I would say she'll have a good pocket of maybe an hour in the afternoon or an hour in the morning hour in the afternoon although it's usually in the afternoon when we'll go to my sister's house and she and the kids are running around and she'll focus on like one like one of their toys and she'll sit there and talk to herself and it's usually to herself",NA,"pro:dem cop pro:rel adv pro:rel pro:sub v prep det:art adj pro:sub mod v pro:sub v det:art adj n prep adv det:art n prep det:art n coord det:art n prep det:art n n prep det:art n conj pro:per adv prep det:art n conj pro:sub v prep det:poss adj n coord pro:sub coord det:art n aux part adv coord pro:sub v prep co det:num co det:num prep det:poss n coord pro:sub v adv coord n prep pro:refl coord pro:per adv prep pro:refl","female"
"and what good is a pen cap with no pen",NA,"coord pro:int adj aux det:art n n prep qn n","female"
"that's your little guy",NA,"pro:dem det:poss adj n","female"
"xxx you erased a little bit of the i",NA,"pro:per v det:art adj n prep det:art n:let","male"
"that's your little guy",NA,"pro:dem det:poss adj n","female"
"is that good or you want it smaller even",NA,"cop det:dem adj coord pro:per v pro:per adj adv","male"
"your little hair+brush",NA,"det:poss adj","female"
"why don't you sit on mommy's lap",NA,"pro:int mod pro:per v prep adj n","male"
"that's your other little guy",NA,"pro:dem det:poss qn adj n","female"
"that's a little screw",NA,"pro:dem det:art adj n","female"
"here's a truck with a little bit bigger bucket",NA,"pro:exist det:art n prep det:art adj n adj n","male"
"ooh very good",NA,"v adv adj","female"
"McDonald's xxx",NA,"adj","male"
"it's good to take the extra off before",NA,"pro:per adj inf v det:art adj adv adv","male"
"now you have a little bumble+bee",NA,"adv pro:per v det:art adj","male"
"let's go inside and tell Manuela and Jessica that it's a little loud out here",NA,"v v n coord v n:prop coord n:prop pro:rel pro:per det:art adj adj prep n","female"
"blue you're right",NA,"adj pro:per co","male"
"mm that looks like one i and another little i",NA,"co pro:rel v prep det:num n:let coord qn adj n:let","male"
"it's a cool dude",NA,"pro:per det:art adj n","male"
"it looks pretty that way",NA,"pro:per v adj adv adv","male"
"that's your pretty drawing",NA,"pro:dem det:poss adj n","female"
"that's your pretty picture you want me to find you a pen so you can draw",NA,"pro:dem det:poss adj n pro:per v pro:obj inf v pro:per det:art n co pro:per mod v","female"
"it's like a sandwich two blue and one red in the middle",NA,"pro:per conj det:art n det:num adj coord det:num n prep det:art n","male"
"let's make the hole bigger",NA,"v v det:art n adj","male"
"it's a cool dude in your pocket",NA,"pro:per det:art adj n prep det:poss n","male"
"there's one big hole",NA,"pro:exist pro:indef adj n","male"
"ooh it's a lil acorn",NA,"v pro:per det:art adj n","female"
"open shut them",NA,"adj v pro:obj","female"
"it's a lil acorn",NA,"pro:per det:art adj n","female"
"that's where bees live and make their honey sometimes Ethan",NA,"pro:dem pro:int n adj coord v det:poss n adv n:prop","male"
"should we put a lil moisturizer on",NA,"mod pro:sub v det:art adj n prep","female"
"huh very good very nice honey",NA,"co adv adj adv adj n","female"
"it's so loud out there they are complaining and whatnot",NA,"pro:per adv adj prep n pro:sub aux part coord n","female"
"you need the blue front huh",NA,"pro:per v det:art adj n co","male"
"this one goes with the pen cap see they're the same color they're both blue",NA,"pro:dem pro:indef v prep det:art n n v pro:sub det:art adj n pro:sub qn n","female"
"ooh good job honey",NA,"v adj n n","female"
"keep the Play_Doh on the table please okay",NA,"v det:art n:prop prep det:art n co adj","male"
"closed open",NA,"part adj","female"
"okay let mommy get new batteries and then we'll see",NA,"co v n aux adj n coord adv:tem pro:sub v","female"
"that's the big big rake",NA,"pro:dem det:art adj adj n","female"
"xxx ready",NA,"adj","male"
"ooh that's a very long neck",NA,"v pro:dem det:art adv adj n","female"
"mommy will get you some books honey okay",NA,"n mod v pro:per qn n n adj","female"
"open",NA,"adj","female"
"very good",NA,"adv adj","male"
"a big lizard",NA,"det:art adj n","female"
"ooh it's right here yup there ya go very good honey",NA,"v pro:per adv adv co adv pro:per v adv adj n","female"
"closed open",NA,"part adj","female"
"closed open",NA,"part adj","female"
"blue",NA,"adj","male"
"xxx you're being silly",NA,"pro:per part adj","male"
"all dumped and ready",NA,"post v coord adj","male"
"byebye but they're coming back so it's okay",NA,"co conj pro:sub part adv adv pro:per adj","female"
"wanna put some on mommy's hand",NA,"v v qn prep adj n","female"
"he's got a very red nose",NA,"pro:sub part det:art adv adj n","female"
"huh thank you I feel softer already",NA,"co v pro:per pro:sub v adj adv","female"
"xxx okay that's a yucky piece",NA,"adj pro:dem det:art adj n","male"
"it's very colorful",NA,"pro:per adv adj","male"
"delicious",NA,"adj","female"
"wrong hole sweetie",NA,"adj n co","male"
"closed open",NA,"part adj","female"
"different hole",NA,"adj n","male"
"delicious banana",NA,"adj n","female"
"yeah you're great",NA,"co pro:per adj","female"
"an orange one that'll make it very colorful xxx",NA,"det:art n det:num pro:rel v pro:per adv adj","male"
"closed open",NA,"part adj","female"
"it did open didn't it",NA,"pro:per v adj mod pro:per","male"
"that's the nicest truck that I've ever seen",NA,"pro:dem det:art adj n pro:rel pro:sub adv part","male"
"just like Blistex",NA,"adj v n:prop","female"
"you giving the pen cap to your sippy cup",NA,"pro:per part det:art n n prep det:poss adj n","female"
"very good honey",NA,"adv adj n","female"
"that's pretty nice",NA,"pro:dem adv adj","female"
"he's a lil monkey",NA,"pro:sub det:art adj n","female"
"delicious",NA,"adj","female"
"that's the prettiest load I've ever seen",NA,"pro:dem det:art adj n pro:sub adv part","male"
"mm that's good",NA,"co pro:dem adj","female"
"it's hard to do",NA,"pro:per adj inf v","male"
"living room green room",NA,"part n adj n","female"
"a multicolored load that's right",NA,"det:art adj n pro:rel co","male"
"oh the light's right over there Manuel",NA,"co det:art adj n prep n n:prop","female"
"ooh we're all nice and smooth thank you so much",NA,"v pro:sub adv adj coord adj v pro:per adv adv","female"
"this is a funny one",NA,"pro:dem cop det:art adj pro:indef","male"
"I'll trace it with a pen okay",NA,"pro:sub v pro:per prep det:art n adj","male"
"he has a long horn",NA,"pro:sub v det:art adj n","female"
"a great big load oops",NA,"det:art adj adj n co","male"
"yeah and a parrot look at the pretty parrot",NA,"co coord det:art n v prep det:art adj n","female"
"are you getting sleepy",NA,"cop pro:per part adj","male"
"what a great box",NA,"pro:int det:art adj n","female"
"good brushing",NA,"adj n:gerund","female"
"mm it's good",NA,"co pro:per adj","female"
"you made some good cuts",NA,"pro:per v qn adj n","male"
"wanna make a blue car",NA,"v v det:art adj n","male"
"everyday everywhere babies are born",NA,"adj n n cop adj","female"
"I think I have the wrong size batteries",NA,"pro:sub v pro:sub v det:art adj n n","female"
"fat babies thin babies small babies tall babies winter and spring babies summer and fall babies",NA,"adj n adj n adj n adj n v coord n v n coord v n","female"
"everyday everywhere babies are kissed",NA,"adj adv n aux part","female"
"you taking a little rest",NA,"pro:per part det:art adj n","female"
"look at that long beak",NA,"v prep adv adj n","female"
"gotta scribble a little now the pen is working",NA,"mod v det:art adj adv det:art n aux part","male"
"yeah he's joining together to make one big river of honey",NA,"co pro:sub part adv inf v det:num adj n prep n","male"
"huh a snake do you see the snake's tongue",NA,"co det:art n v pro:per v det:art adj n","female"
"okay ready",NA,"co adj","male"
"do you like scratchy cat kisses",NA,"mod pro:per v adj n n","female"
"is that too big",NA,"cop pro:dem adv adj","female"
"can't grab that okay",NA,"mod v adv adj","female"
"what a pointy tongue",NA,"pro:int det:art adj n","female"
"everyday everywhere babies are dressed",NA,"adj adv n aux part","female"
"scratchy",NA,"adj","female"
"very pink",NA,"adv adj","female"
"they almost look like little arms",NA,"pro:sub adv v conj adj n","male"
"sometimes you just hafta scribble a little and the",NA,"adv pro:per adv mod v det:art adj coord det:art","male"
"is it puppy's ear",NA,"aux pro:per adj n","female"
"scratchy",NA,"adj","female"
"that's a good size",NA,"pro:dem det:art adj n","male"
"everyday everywhere babies are fed",NA,"adj n n aux part","female"
"and then you can cut the extra off with a tool",NA,"coord adv:tem pro:per mod v det:art adj adv prep det:art n","male"
"which is better the toothpaste or the Floppy",NA,"pro:rel cop adj det:art coord det:art n:prop","female"
"this is her new thing by the way her yes is mm",NA,"pro:dem cop det:poss adj n prep det:art n det:poss co aux co","female"
"it's a hand with three fingers let's see if we can stick it back in",NA,"pro:per det:art n prep det:num n v v conj pro:sub mod v pro:per adj adv","male"
"the remote control",NA,"det:art adj n","female"
"xxx put your hand down flat",NA,"v det:poss n adv adj","male"
"that's good",NA,"pro:dem adj","female"
"delicious",NA,"adj","female"
"that's an interesting xxx too",NA,"pro:dem det:art adj post","male"
"dirty",NA,"adj","female"
"gentle",NA,"adj","male"
"gentle",NA,"adj","male"
"mm that's good",NA,"co pro:dem adj","female"
"gentle",NA,"adj","male"
"I keep very still",NA,"pro:sub v adv adj","male"
"do you like fuzzy bear kisses",NA,"mod pro:per v adj n n","female"
"gentle",NA,"adj","male"
"gentle",NA,"adj","male"
"fuzzy",NA,"adj","female"
"I actually think this is the wrong cartridge",NA,"pro:sub adv v det:dem cop det:art adj n","female"
"dirty",NA,"adj","female"
"dirty",NA,"adj","female"
"by the way Jessica she has this new thing",NA,"prep det:art n n:prop pro:sub aux det:dem adj n","female"
"well we only have one left right",NA,"co pro:sub adv v pro:indef adj co","male"
"a big hand yeah",NA,"det:art adj n co","male"
"are you full of energy",NA,"cop pro:per adj prep n","female"
"they give you this free cartridge when you buy it but it's for a different toy that you hafta buy",NA,"pro:sub v pro:per det:dem adj n conj pro:per v pro:per conj pro:per prep det:art adj n pro:rel pro:per mod v","female"
"you wanna try one more time to get your whole hand",NA,"pro:per v v det:num qn n inf v det:poss adj n","male"
"and so everything new that she's not naming she's now calling dede",NA,"coord adv pro:indef adj comp pro:sub neg part pro:sub adv part chi","female"
"xxx little tiny water",NA,"adj adj n","male"
"I think the best way to get it all together is to roll it again",NA,"pro:sub v det:art adj adv inf v pro:per adv adv cop inf v pro:per adv","male"
"that's nice I'm sure he appreciates it oh for mommy thank you",NA,"pro:dem adj pro:sub adv pro:sub v pro:per co prep n v pro:per","female"
"everyday everywhere babies are rocked",NA,"adj adv n aux part","female"
"that the same company makes",NA,"comp det:art adj n v","female"
"are you sitting on your chair do you want me to move that a little honey",NA,"cop pro:per part prep det:poss n v pro:per v pro:obj prep n pro:rel det:art adj n","female"
"a little busy buzzing bee",NA,"det:art adj v part n","male"
"mini water right",NA,"adj n co","male"
"yeah just a lil bit here",NA,"co adv det:art adj n adv","female"
"your first lesson in business honey",NA,"det:poss adj n prep n n","female"
"it's a nice acorn",NA,"pro:per det:art adj n","female"
"this is a very long string",NA,"pro:dem cop det:art adv adj n","male"
"everyday everywhere babies are carried",NA,"adj adv n aux part","female"
"you have to press a flat piece into there",NA,"pro:per v inf v det:art adj n prep n","male"
"maxi_water you're funny xxx",NA,"wplay pro:per adj","male"
"now you wanna sit on your other chair okay",NA,"adv pro:per v v prep det:poss qn n adj","female"
"in backpacks and front packs in slings and in strollers car seats and bike seats and on daddy's shoulders",NA,"prep coord adj n prep n coord prep n n n coord n n coord prep adj n","female"
"that was funny joke Ethan",NA,"pro:dem cop adj n n:prop","male"
"that's pretty good",NA,"pro:dem adv adj","male"
"but sorry okay hang on",NA,"conj adj adj v adv","female"
"it's still a little stuck maybe we have to fold it",NA,"pro:per adv det:art adj v adv pro:sub v inf v pro:per","male"
"you brushing Floppy's teeth",NA,"pro:per part adj n","female"
"xxx sleepy puss huh",NA,"adj n co","male"
"harder harder",NA,"adj adj","male"
"you're a sleepy puss",NA,"pro:per det:art adj n","male"
"mm I have minty fresh breath",NA,"co pro:sub v adj adj n","female"
"that's a red balloon",NA,"pro:dem det:art adj n","female"
"yeah it does different stories you can do",NA,"co pro:per mod adj n pro:per mod v","male"
"you're a sleepy puss",NA,"pro:per det:art adj n","male"
"delicious",NA,"adj","female"
"princess birthday fun clothes",NA,"n adj n:pt","male"
"how bout that oh wait I'm so I'm so sorry",NA,"pro:int prep det:dem co co pro:sub adv pro:sub adv adj","female"
"very good",NA,"adv adj","female"
"oval",NA,"adj","female"
"everyday everywhere babies make noise",NA,"adj n n v n","female"
"huh look at the fuzzy bear",NA,"co v prep det:art adj n","female"
"a little orange bug a little orange bug",NA,"det:art adj adj n det:art adj adj n","male"
"you can try to run but it's futile",NA,"pro:per mod v inf v conj pro:per adj","female"
"fuzzy fuzzy fuzzy fuzzy fuzzy",NA,"adj adj adj adj adj","female"
"Ev what happened to the potty",NA,"n:prop pro:int v prep det:art adj","male"
"ready",NA,"adj","male"
"thanks for the minty fresh breath",NA,"v prep det:art adj adj n","female"
"everyday everywhere babies like toys",NA,"adj n n prep n","female"
"you lost the potty",NA,"pro:per v det:art adj","male"
"yup that's the vacuum cleaner",NA,"co pro:dem det:art n adj","female"
"rattles and tops and books that won't tear old pots and pans and a fuzzy brown bear",NA,"n coord n coord n pro:rel mod n adj n coord n coord det:art adj adj n","female"
"oh are you brushing Floppy's tummy",NA,"co aux pro:per part adj n","female"
"dirty",NA,"adj","female"
"it was off the page for a long time wasn't it",NA,"pro:per cop prep det:art n prep det:art adj n cop pro:per","male"
"dirty",NA,"adj","female"
"you're very silly",NA,"pro:per adv adj","female"
"op you dropped it back in",NA,"co pro:per v pro:per adj adv","male"
"yellow car yellow car yellow car",NA,"n n adj n adj n","male"
"you're very silly",NA,"pro:per adv adj","female"
"everyday everywhere babies play games",NA,"adj n v n n","female"
"dirty",NA,"adj","female"
"peek a boo patty cake this little piggie roll the ball ride a horse jiggety jiggy",NA,"v det:art n co v det:dem adj n n det:art n n det:art n wplay wplay","female"
"yuh that was good",NA,"co pro:rel cop adj","female"
"I think that's what you were singing right",NA,"pro:sub v pro:dem pro:int pro:per aux part adj","male"
"she clearly was sneaking candy bars for breakfast that I was not aware of",NA,"pro:sub adv cop part n v prep n pro:rel pro:sub cop neg adj prep","female"
"it might be all that's gonna come out is just a little small piece",NA,"pro:per mod cop adv pro:rel part v adv cop adv det:art adj adj n","male"
"shake open",NA,"n adj","male"
"that's the remote that we're not gonna draw on",NA,"pro:dem det:art adj comp pro:sub neg part v adv","female"
"what's dirty",NA,"pro:int adj","female"
"bad box",NA,"adj n","female"
"hm I'm sure",NA,"co pro:sub adj","male"
"oh more spilled okay okay okay",NA,"co adv part adj adj adj","male"
"that's very helpful",NA,"pro:rel adv adj","male"
"well dogs are soft and furry we could make a red dog with some pompoms",NA,"n n cop adj coord adj pro:sub mod v det:art adj n prep qn n","male"
"everything is wet",NA,"pro:indef cop adj","male"
"it's orange",NA,"pro:per adj","male"
"that's Jessica's bag",NA,"pro:dem adj n","female"
"let Mama throw this part away of the banana",NA,"v n:prop v det:dem adj adv prep det:art n","female"
"an orange cat",NA,"det:art adj n","male"
"I'll be right back",NA,"pro:sub cop adj n","female"
"just like Savannah was",NA,"adj co n:prop cop","male"
"see there's only a little bit of Play_Doh left",NA,"v pro:exist adv det:art adj n prep n:prop v","male"
"I will be right back",NA,"pro:sub mod cop adj n","female"
"I think you forgot to tell me something important",NA,"pro:sub v pro:per v inf v pro:obj pro:indef adj","male"
"my_goodness you're just a lil bit hyper today",NA,"co pro:per adv det:art adj n adj adv:tem","female"
"you're very silly today",NA,"pro:per adv adj adv:tem","female"
"it's an orange and white cat",NA,"pro:per det:art n coord adj n","male"
"that's a big red ball",NA,"pro:dem det:art adj adj n","female"
"that's a nice design",NA,"pro:dem det:art adj n","male"
"good idea",NA,"adj n","female"
"a big red ball",NA,"det:art adj adj n","female"
"oh your other one's over here honey",NA,"co det:poss qn adj prep n n","female"
"everyday everywhere babies make friends",NA,"adj n n v n","female"
"while the moon goes round and round my rocket will fly through the space through the clouds over the deep blue sea",NA,"conj det:art n v adv coord adv det:poss n mod n adj det:art n adj det:art n prep det:art n adj n","male"
"xxx that's pretty funny",NA,"pro:dem adv adj","male"
"with a puppy a kitten a goldfish a bunny young people old people anyone funny",NA,"prep det:art n det:art n det:art n det:art n adj n adj n pro:indef adj","female"
"yeah thanks honey great job",NA,"co co n adj n","female"
"xxx while the moon goes round and round my rocket will fly and then in space full of stars I see our beautiful earth",NA,"conj det:art n v adv coord adv det:poss n mod v coord adv:tem prep n adj prep n pro:sub v det:poss adj n","male"
"he's gotta be really strong to walk a truck doesn't he",NA,"pro:sub mod cop adv adj inf v det:art n mod pro:sub","male"
"far far away",NA,"adj adv adv","male"
"oh my oh Floppy sorry",NA,"co det:poss co n:prop adj","female"
"Bob must be really strong",NA,"n:prop mod cop adv adj","male"
"that's much better do you need those batteries to fix it",NA,"pro:dem adv adj v pro:per v det:dem n inf v pro:per","female"
"where's the bunny with the white tail and the long ears",NA,"pro:int det:art n prep det:art adj n coord det:art adj n","female"
"I don't think it was flat enough",NA,"pro:sub mod v pro:per cop adj adv","male"
"dirty",NA,"adj","female"
"here let's put this uniform on you",NA,"adv v part det:dem adj prep pro:per","male"
"see whether it covers you up a little bit xxx",NA,"v conj pro:per v pro:per prep det:art adj n","male"
"and that's daddy when he was a little tiny baby",NA,"coord pro:dem n conj pro:sub cop det:art adj adj n","female"
"xxx flashing red lights",NA,"part adj n","female"
"uh do you want a thick book with lots_of pages in it",NA,"v pro:per v det:art adj n prep qn n prep pro:per","male"
"blither blither blither blither",NA,"adj adj adj adj","male"
"a little bit warmer",NA,"det:art adj n adj","male"
"blither blither blither blither",NA,"adj adj adj adj","male"
"yeah you're a great fixer",NA,"co pro:per det:art adj n","female"
"are you thirsty",NA,"cop pro:per adj","female"
"otherwise you're a naked doodle",NA,"adv pro:per det:art adj n","male"
"yep very good tire tracks that looks like the story",NA,"co adv adj n n pro:rel v prep det:art n","male"
"you're a great fixer",NA,"pro:per det:art adj n","female"
"yeah Floppy looks great in the stroller",NA,"co n:prop v adj prep det:art n","female"
"everyday everywhere babies are crawling",NA,"adj adv n aux part","female"
"forward and backward on bottoms and knees upstairs and downstairs wherever they please",NA,"adj coord adv prep n coord n adv coord adv pro:rel pro:sub co","female"
"everyday everywhere babies are walking",NA,"adj adv n aux part","female"
"that's Jessica's bag",NA,"pro:dem adj n","female"
"I think it's too long for Bob",NA,"pro:sub v pro:per adv adj prep n:prop","male"
"it's pretty it's yellow and green",NA,"pro:per adj pro:per n coord n","female"
"well now that you say it it makes perfect sense",NA,"adv adv pro:rel pro:per v pro:per pro:per v adj n","female"
"there's a little girl",NA,"pro:exist det:art adj n","female"
"that's pretty silly",NA,"pro:dem adv adj","female"
"gentle gentle",NA,"adj adj","male"
"gentle",NA,"adj","male"
"can you come up with any new and dazzling words",NA,"mod pro:per v adv prep qn adj coord part n","female"
"that little boy's on his back",NA,"det:dem adj n prep det:poss n","female"
"he's good at putting on roofs too bad we don't have a ladder",NA,"pro:sub adj prep part prep n adv adj pro:sub mod v det:art n","male"
"what's the first one a car right",NA,"pro:int det:art adj pro:indef det:art n adj","male"
"almost all the different colors there are",NA,"adv qn det:art adj n adv cop","male"
"that's a better bicycle",NA,"pro:dem det:art adj n","male"
"first he tried a tricycle and that was too small",NA,"adv pro:sub v det:art n coord pro:dem cop adv adj","male"
"so he needed one bigger",NA,"co pro:sub v pro:indef adj","male"
"it's a special surprise birthday present",NA,"pro:per det:art adj n adv","male"
"who's next Ethan",NA,"pro:int adj n:prop","male"
"woo it's hard to do xxx you have to balance",NA,"v pro:per adj inf v pro:per v prep n","male"
"happy birthday",NA,"adj","male"
"xxx that's a hard trick xxx",NA,"pro:dem det:art adj n","male"
"what a nice present",NA,"pro:int det:art adj n","male"
"Mommy's tires are flat",NA,"adj n cop adj","male"
"xxx you need some pants little one",NA,"pro:per v pro:indef v adj pro:indef","male"
"here this is better",NA,"adv pro:dem cop adj","male"
"up top",NA,"adv adj","male"
"it's hard to learn how to ride a bike",NA,"pro:per adj inf v pro:int inf v det:art n","male"
"up on your orange shirt",NA,"adv prep det:poss adj n","male"
"that looks nice on your orange shirt",NA,"adv v adj prep det:poss adj n","male"
"well this kind of looks a little bit like a van",NA,"n det:dem adj prep cop det:art adj n prep det:art n","male"
"a little bit like a van",NA,"det:art adj n prep det:art n","male"
"and it's hard to balance",NA,"coord pro:per adj inf v","male"
"xxx po engine that's what we called it the first time didn't we",NA,"n pro:dem pro:int pro:sub v pro:per det:art adj n mod pro:sub","male"
"that's yucky this is good",NA,"pro:dem adj pro:dem cop adj","male"
"I'll be right back you need some pants",NA,"pro:sub cop adj n pro:per v pro:indef v","male"
"ready",NA,"adj","male"
"that would be a little bit more like a scooter",NA,"pro:dem mod cop det:art adj n adv prep det:art n","male"
"you got a little Play_Doh on your shirt",NA,"pro:per v det:art adj n:prop prep det:poss n","male"
"band-aid yeah I guess Ethan got a little scratched up",NA,"n co pro:sub v n:prop v det:art adj part adv","male"
"that says cross arms",NA,"pro:rel v adj n","male"
"here's a whole bunch",NA,"pro:exist det:art adj n","male"
"that's why the door's closed xxx",NA,"pro:dem pro:int det:art adj part","male"
"arms open wide",NA,"n adj adj","male"
"yep push a little got it",NA,"co n det:art adj v pro:per","male"
"you wanna do it so you can do it in the right order",NA,"pro:per v v pro:per conj pro:per mod v pro:per prep det:art adj n","male"
"blue yellow and white that's nice",NA,"adj n coord adj pro:dem adj","male"
"actually it's red white and blue right",NA,"adv pro:per adj n coord adj co","male"
"right Ethan's birds",NA,"adv adj n","male"
"good job",NA,"adj n","male"
"that does say go up there right",NA,"pro:dem mod co v prep n adj","male"
"just like that hydrant outside red white and blue",NA,"adv prep pro:dem n adv adj n coord adj","male"
"we had a little accident xxx",NA,"pro:sub v det:art adj n","male"
"what's a good name for a police officer",NA,"pro:int det:art adj n prep det:art n n","male"
"he's very happy because scooter is his favorite thing right",NA,"pro:sub adv adj conj n cop det:poss adj n co","male"
"except Cranky's crane is gonna get in the way",NA,"conj adj n aux part v prep det:art n","male"
"xxx is that a good name",NA,"cop comp det:art adj n","male"
"her favorite thing",NA,"det:poss adj n","male"
"xxx cranky a little bit",NA,"adj det:art adj n","male"
"it was very silly",NA,"pro:per cop adv adj","male"
"that does say go up there right",NA,"pro:dem mod co v prep n adj","male"
"the most perfect load of all I think so",NA,"det:art qn adj n prep qn pro:sub v co","male"
"his head turns all the way around doesn't it",NA,"det:poss adj n adv det:art n adv mod pro:per","male"
"except Cranky's crane is gonna get in the way",NA,"conj adj n aux part v prep det:art n","male"
"xxx cranky a little bit",NA,"adj det:art adj n","male"
"xxx I don't know if I'm strong enough Ethan",NA,"pro:sub mod v comp pro:sub adj adv n:prop","male"
"one big one and one little one",NA,"det:num adj pro:indef coord pro:indef adj pro:indef","male"
"Ethan's lunch",NA,"adj n","male"
"careful you're sitting on the Play_Doh",NA,"adj pro:per part prep det:art n:prop","male"
"there's your little watering can",NA,"pro:exist det:poss adj n:gerund mod","female"
"that's a tough situation",NA,"pro:dem det:art adj n","male"
"that's a very pretty load and it matches the bed of the truck",NA,"pro:dem det:art adv adj n coord pro:per v det:art n prep det:art n","male"
"that's a good question",NA,"pro:dem det:art adj n","male"
"it's been stuck for a long time",NA,"pro:per aux part prep det:art adj n","male"
"now that's even nicer",NA,"adv pro:dem adv adj","male"
"that's very colorful",NA,"pro:rel adv adj","male"
"a squirrel eats Ethan's lunch",NA,"det:art n v adj n","male"
"the squirrels are hungry little critters",NA,"det:art n cop adj adj n","male"
"to put it in the right order",NA,"inf v pro:per prep det:art adj n","male"
"whoa he ran away without his tender car",NA,"co pro:sub v adv prep det:poss adj n","male"
"big big bigger biggest",NA,"adj adj adj adj","male"
