"gloss","target_child_name","part_of_speech","target_child_sex"
"you're okay okay good","Benjamin","pro:per adj co adj",NA
"boy gotta stay in there okay","Benjamin","co mod v prep n adj",NA
"you're gonna be the big brother Ben","Benjamin","pro:per part cop det:art adj n n:prop",NA
"due Monday Benjamin","Benjamin","adj n:prop n:prop",NA
"wow a slide in the house they're pretty lucky","Benjamin","co det:art n prep det:art n pro:sub adv adj",NA
"the little house","Benjamin","det:art adj n",NA
"mow the lawn okay","Benjamin","v det:art n adj",NA
"that wasn't very nice","Benjamin","comp cop adv adj",NA
"can the dad do something nice","Benjamin","mod det:art n v pro:indef adj",NA
"I don't think he's a little big for that carriage","Benjamin","pro:sub mod v pro:sub det:art adj adj prep det:dem n",NA
"to infinity and beyond okay","Benjamin","prep n coord adv adj",NA
"oh okay","Benjamin","co adj",NA
"that's a tough one","Benjamin","pro:dem det:art adj pro:indef",NA
"here come that big bubble","Benjamin","adv v det:dem adj n",NA
"go get more sand okay","Benjamin","v v qn n adj",NA
"tell you gotta better tell him to be careful","Benjamin","v pro:per mod adj v pro:obj inf cop co",NA
"you want that down okay","Benjamin","pro:per v adv adv adj",NA
"no that's the potty","Benjamin","co pro:dem det:art adj",NA
"what do you do in the potty","Benjamin","pro:int mod pro:per v prep det:art adj",NA
"that's a big puppy house","Benjamin","pro:dem det:art adj n n",NA
"baby wanna go pee okay","Benjamin","n v v n adj",NA
"he's too big for that","Benjamin","pro:sub adv adj prep pro:dem",NA
"puppy's awake","Benjamin","adj adj",NA
"sorry we hafta be quick today","Benjamin","adj pro:sub mod cop adv adv:tem",NA
"is that the potty","Benjamin","cop comp det:art adj",NA
"what what happened to this little farmer","Benjamin","pro:int v prep det:dem adj n",NA
"I don't know if Ryan's going to be able to understand all of this","Benjamin","pro:sub mod v comp n:prop part inf cop adj inf v pro:indef prep pro:dem",NA
"see where the it's got little buttons","Benjamin","v pro:int pro:per part adj n",NA
"you got it okay","Benjamin","pro:per v pro:per adj",NA
"oh that little farmer was upside down","Benjamin","co det:dem adj n cop adv adv",NA
"too long ago I guess that was Friday","Benjamin","adv adj post pro:sub n pro:rel cop n:prop",NA
"that's not nice","Benjamin","pro:dem neg adj",NA
"I think this seat's too big for you","Benjamin","pro:sub v det:dem n adv adj prep pro:per",NA
"you need that seat okay","Benjamin","pro:per v det:dem n adj",NA
"it's a little swimmer","Benjamin","pro:per det:art adj n",NA
"she's gonna walk okay where's she gonna walk to","Benjamin","pro:sub part n adj pro:rel pro:sub part v inf",NA
"what about the little b what about the little boy","Benjamin","pro:int prep det:art adj pro:int prep det:art adj n",NA
"Shelby's mommy","Emily","adj n",NA
"what was the doggy saying","Benjamin","pro:int cop det:art adj part",NA
"he was too big like that","Emily","pro:sub cop adv adj prep pro:dem",NA
"can you draw a big circle","Benjamin","mod pro:per v det:art adj n",NA
"you got a big piece of paper","Benjamin","pro:per v det:art adj n prep n",NA
"can you show Ryan a big circle","Benjamin","mod pro:per v n:prop det:art adj n",NA
"it's fixed okay but what what is that that you just fixed","Benjamin","pro:per part adj conj pro:int pro:int cop comp comp pro:per adv part",NA
"what's the little boy doing","Benjamin","pro:int det:art adj n part",NA
"now they're sit down okay","Benjamin","adv pro:sub v adv adj",NA
"don't eat the crayons they're yucky","Benjamin","mod v det:art n pro:sub adj",NA
"they're on the potty in there","Benjamin","pro:sub prep det:art adj prep n",NA
"this a bath okay","Benjamin","pro:dem det:art n adj",NA
"he did see a stuffed zebra at the doctor's office","Benjamin","pro:sub mod v det:art part n prep det:art adj n",NA
"he saw a huge Great_Dane someone was walking a Great_Dane xxx dog","Benjamin","pro:sub v det:art adj n:prop pro:indef aux part det:art n:prop n",NA
"oh runaway baby","Benjamin","co adj n",NA
"Superman better rescue her","Benjamin","n:prop adj v pro:obj",NA
"Superman better oh Superman better be careful when he's flying with that baby","Benjamin","n:prop adj co n:prop adj aux co conj pro:sub part prep det:dem n",NA
"uh you're kinda goofy kid","Benjamin","pro:per n prep adj n",NA
"it doesn't close it just stays open","Benjamin","pro:per mod v pro:per adv cop adj",NA
"well I've got ten o'clock I don't know how long you","Benjamin","co pro:sub part det:num n pro:sub mod v pro:int adj pro:per",NA
"it's gonna be hard to rescue her then","Benjamin","pro:per part cop adj inf v pro:obj adv:tem",NA
"Ryan's making a big I don't think he's making a big circle","Benjamin","n:prop part det:art adj pro:sub mod v pro:sub part det:art adj n",NA
"you forgot to tell Ryan you don't have a driver's license","Benjamin","pro:per v inf v n:prop pro:per mod v det:art adj n",NA
"good girl","Emily","adj n",NA
"a little peach on it","Benjamin","det:art adj n prep pro:per",NA
"that is a big farm","Benjamin","pro:dem cop det:art adj n",NA
"go on horsie okay","Benjamin","v prep n adj",NA
"watch out for the cars okay","Benjamin","v adv prep det:art n adj",NA
"oh he's gotta go on there okay","Benjamin","co pro:sub mod v prep n adj",NA
"you sure","Benjamin","pro:per adj",NA
"um yes it's just about time","Benjamin","co pro:per adj prep n",NA
"I hope not don't be mean","Benjamin","pro:sub n neg mod cop adj",NA
"no not Aunt Deacon's house","Benjamin","co neg n:prop adj n",NA
"how about where where do you go and take long long walks","Benjamin","pro:int adv pro:rel mod pro:per v coord v adj n",NA
"who do you take long walks with down to the waterfall","Benjamin","pro:int mod pro:per v adj n prep adv prep det:art n",NA
"that's Papa's house","Benjamin","pro:dem adj n",NA
"and who else is at Papa's house","Benjamin","coord pro:int post aux prep adj n",NA
"you gonna make a Granny okay","Benjamin","pro:per part v det:art n:prop adj",NA
"robin's eggs","Benjamin","adj n",NA
"on a sick elephant","Benjamin","prep det:art adj n",NA
"you're silly you are just too silly","Benjamin","pro:per adj pro:per cop adj adv co",NA
"go around that okay","Benjamin","v prep det:dem adj",NA
"put it back maybe you can open it next time","Benjamin","v pro:per adv adv pro:per mod v pro:per adj n",NA
"no not green or black","Benjamin","co neg adj coord n",NA
"no I'm making a little house","Benjamin","co pro:sub part det:art adj n",NA
"no they just have a little house","Benjamin","co pro:sub adv v det:art adj n",NA
"a little porch there's a little door","Benjamin","det:art adj n pro:exist det:art adj n",NA
"there's a window there's a window there's a little tiny window upstairs","Benjamin","pro:exist det:art n pro:exist det:art n pro:exist det:art adj adj n adv",NA
"Mommy's going to bite the sandwich okay","Emily","n:prop part inf v det:art n adj",NA
"is that a big horse or a little horse","Benjamin","cop comp det:art adj n coord det:art adj n",NA
"the bottom broke off and we hadta like put it back together and it hasn't been the same since","Benjamin","det:art n adj adv coord pro:sub mod co v pro:per adv adv coord pro:per aux cop det:art adj prep",NA
"what else do you do at Granny and Papa's","Benjamin","pro:int post v pro:per v prep n:prop coord adj",NA
"might be too big sweetie","Benjamin","mod cop adv adj co",NA
"oh pretty good okay","Benjamin","co adv adj adj",NA
"you goofy","Benjamin","pro:per adj",NA
"you can wear the nice","Benjamin","pro:per mod v det:art adj",NA
"you did sit on the potty chair today","Emily","pro:per v v prep det:art adj n adv:tem",NA
"that's a long way to go for candy","Benjamin","pro:dem det:art adj adv inf v prep n",NA
"maybe soon","Benjamin","adv adj",NA
"I think his microphone's on the floor Ryan I don't if know if you","Benjamin","pro:sub v det:poss adj prep det:art n n:prop pro:sub mod comp v comp pro:per",NA
"instant mean guy","Benjamin","adj adj n",NA
"you see how easy that was","Benjamin","pro:per v pro:rel adj adv cop",NA
"how come everybody's mean today and killing","Benjamin","pro:int v adj adj adv:tem coord part",NA
"you better make some of them nice guys so they can get out of jail","Benjamin","pro:per adj v pro:indef prep pro:obj adj n conj pro:sub mod v adv prep n",NA
"a pumpkin the first year","Emily","det:art n det:art adj n",NA
"what were you the second year","Emily","pro:int cop pro:per det:art adj n",NA
"hey Ben who was the good guy we watched on tv last night","Benjamin","co n:prop pro:rel cop det:art adj n pro:sub v prep n adv n",NA
"he's just a big green guy huh","Emily","pro:sub adv det:art adj n n co",NA
"he's not scary is he","Emily","pro:sub neg adj cop pro:sub",NA
"he's a tall green guy huh","Emily","pro:sub det:art adj adj n co",NA
"a big guy","Emily","det:art adj n",NA
"Cassandra's","Emily","adj",NA
